         34439414 function calls (34116394 primitive calls) in 71.518 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      235    0.009    0.000    1.973    0.008 /Users/ediaz/work/src/github.com/lnds/codice/analytics/complexity.py:37(calculate_complexity_in)
    58604    0.069    0.000    1.930    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/utils.py:200(__getitem__)
    20058    0.180    0.000    1.799    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/lookups.py:166(process_lhs)
    34020    0.234    0.000    1.782    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/pygount/analysis.py:310(_line_parts)
    19793    0.132    0.000    1.692    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/query.py:1138(build_lookup)
    12587    0.040    0.000    1.659    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/fields/related_lookups.py:119(as_sql)
   117208    0.201    0.000    1.615    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/asgiref/local.py:93(__getattr__)
1055608/997004    0.465    0.000    1.516    0.000 {built-in method builtins.hasattr}
     1230    0.029    0.000    1.513    0.001 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/query.py:416(get_aggregation)
    21755    0.267    0.000    1.504    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/query.py:1520(setup_joins)
   117208    0.640    0.000    1.382    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/asgiref/local.py:40(_get_context_id)
   139369    0.093    0.000    1.301    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/pygount/analysis.py:282(_delined_tokens)
     9526    0.324    0.000    1.252    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/compiler.py:642(get_default_columns)
